id;user_name;category;sub_category;topic;sub_topic
1;wireless Refined intelligence;online 1080p;teal navigating;schemas;deposit Soft
2;bifurcated Handcrafted;copy Automotive actuating;communities incentivize;Singapore;capability Assistant e-commerce
3;calculating;Vista Granite;payment scalable Borders;AI;killer
4;Baby Berkshire primary;platforms and Granite;Square;withdrawal Multi-channelled Plastic;XML National
5;relationships transmitting;Convertible Rustic;Assistant Multi-lateral Card;hacking;Wooden Denmark XSS
6;Tasty Concrete;Branch connecting;didactic Checking Steel;Programmable;Dale magenta deposit
7;Account;Ergonomic Borders;Shoes;Wooden Fantastic;Greens HDD Beauty
8;bypassing bypassing Tasty;Global;grow;parse streamline yellow;Place
9;green efficient monetize;Tasty e-markets User;Pants;context-sensitive parse Divide;SSL Jewelery engage
10;Awesome San Indiana;infrastructures Senegal National;Concrete leverage;Accounts France Officer;Tanzania Intelligent modular
